,insert_date,origin,destination,start_date,end_date,train_type,price,train_class,fare
68,2019-04-21 14:19:15,SEVILLA,MADRID,2019-04-27 21:00:00,2019-04-27 23:52:00,AV City,49.15,Turista,Promo
69,2019-04-23 19:10:55,MADRID,SEVILLA,2019-05-08 15:00:00,2019-05-08 17:21:00,AVE,53.4,Turista,Promo
70,2019-05-05 01:30:35,MADRID,VALENCIA,2019-05-11 15:40:00,2019-05-11 17:22:00,AVE,51.15,Turista,Promo
71,2019-04-12 21:00:14,MADRID,VALENCIA,2019-05-30 11:55:00,2019-05-30 13:35:00,AVE,,Turista,Promo
72,2019-04-13 19:22:07,MADRID,VALENCIA,2019-05-08 09:10:00,2019-05-08 10:58:00,AVE,51.15,Turista,Promo
73,2019-04-20 17:23:57,MADRID,SEVILLA,2019-04-23 21:25:00,2019-04-24 00:10:00,AV City,43.55,Turista,Promo
74,2019-05-03 19:35:41,VALENCIA,MADRID,2019-05-08 15:10:00,2019-05-08 17:03:00,AVE,66.55,Preferente,Promo
75,2019-04-20 01:42:44,PONFERRADA,MADRID,2019-04-30 02:36:00,2019-04-30 09:31:00,TRENHOTEL,45.8,Turista,Flexible
76,2019-04-16 18:15:03,BARCELONA,MADRID,2019-05-13 20:00:00,2019-05-13 23:10:00,AVE,66.75,Turista,Promo
77,2019-04-16 23:44:30,PONFERRADA,MADRID,2019-05-09 13:44:00,2019-05-09 19:21:00,LD,47.0,Turista con enlace,Flexible
78,2019-04-28 19:43:18,MADRID,VALENCIA,2019-05-21 07:40:00,2019-05-21 09:20:00,AVE,57.75,Turista,Promo
79,2019-04-14 08:21:52,MADRID,SEVILLA,2019-04-16 13:00:00,2019-04-16 15:40:00,AVE,69.4,Preferente,Promo
80,2019-05-06 07:24:20,VALENCIA,MADRID,2019-05-29 20:15:00,2019-05-29 21:55:00,AVE,21.95,Turista,Promo
81,2019-04-27 03:05:40,VALENCIA,MADRID,2019-06-24 14:50:00,2019-06-24 22:30:00,REGIONAL,28.35,Turista,Adulto ida
82,2019-04-16 12:26:47,VALENCIA,MADRID,2019-04-16 20:15:00,2019-04-16 21:55:00,AVE,57.75,Turista,Promo
83,2019-04-23 12:10:29,MADRID,BARCELONA,2019-05-17 15:30:00,2019-05-17 18:40:00,AVE,107.7,Turista,Flexible
84,2019-05-08 05:38:38,VALENCIA,MADRID,2019-05-12 18:35:00,2019-05-12 20:21:00,AVE,66.55,Preferente,Promo
85,2019-04-18 13:44:00,MADRID,VALENCIA,2019-05-06 06:45:00,2019-05-06 08:38:00,AVE,27.8,Turista,Promo
86,2019-04-30 05:03:50,BARCELONA,MADRID,2019-05-02 08:00:00,2019-05-02 11:10:00,AVE,85.1,Turista,Promo
87,2019-04-17 12:13:36,VALENCIA,MADRID,2019-05-04 10:40:00,2019-05-04 12:27:00,AVE,43.75,Preferente,Promo
88,2019-04-25 21:13:26,BARCELONA,MADRID,2019-05-10 13:25:00,2019-05-10 16:10:00,AVE,75.4,Turista,Promo
89,2019-04-19 09:04:37,BARCELONA,MADRID,2019-05-27 12:50:00,2019-05-27 15:45:00,AVE-TGV,58.15,Turista,Promo
90,2019-04-16 08:17:18,MADRID,VALENCIA,2019-05-07 07:40:00,2019-05-07 09:20:00,AVE,73.1,Turista,Flexible
91,2019-04-18 06:06:16,SEVILLA,MADRID,2019-05-19 18:45:00,2019-05-19 21:17:00,AVE,76.3,Turista,Flexible
92,2019-04-26 05:04:23,MADRID,SEVILLA,2019-05-13 08:00:00,2019-05-13 10:32:00,AVE,76.3,Turista,Flexible
93,2019-04-19 02:04:58,BARCELONA,MADRID,2019-06-05 09:03:00,2019-06-05 18:07:00,R. EXPRES,43.25,Turista,Adulto ida
94,2019-05-04 09:09:44,MADRID,VALENCIA,2019-05-26 11:55:00,2019-05-26 13:35:00,AVE,66.55,Preferente,Promo
95,2019-04-18 13:27:00,SEVILLA,MADRID,2019-04-26 20:15:00,2019-04-26 22:36:00,AVE,53.4,Turista,Promo
96,2019-04-28 23:18:23,MADRID,BARCELONA,2019-05-24 08:30:00,2019-05-24 11:15:00,AVE,85.08,Turista,Promo
97,2019-05-01 07:33:24,MADRID,SEVILLA,2019-05-24 09:45:00,2019-05-24 12:27:00,INTERCITY,,Preferente,Promo
98,2019-04-22 12:10:05,BARCELONA,MADRID,2019-04-23 13:25:00,2019-04-23 16:10:00,AVE,75.4,Turista,Promo
99,2019-04-13 08:28:09,MADRID,VALENCIA,2019-04-16 09:40:00,2019-04-16 11:24:00,AVE,,Turista,Promo
100,2019-05-08 23:15:17,SEVILLA,MADRID,2019-07-03 12:40:00,2019-07-03 15:23:00,AVE,22.9,Turista,Promo
101,2019-04-29 15:04:16,BARCELONA,MADRID,2019-05-16 14:00:00,2019-05-16 17:10:00,AVE,58.15,Turista,Promo
102,2019-04-23 18:07:20,MADRID,VALENCIA,2019-05-06 15:40:00,2019-05-06 17:22:00,AVE,33.65,Turista,Promo
103,2019-05-06 19:38:42,VALENCIA,MADRID,2019-05-25 09:40:00,2019-05-25 11:20:00,AVE,51.15,Turista,Promo
104,2019-04-24 04:04:11,MADRID,SEVILLA,2019-05-21 09:00:00,2019-05-21 11:38:00,AVE,69.4,Preferente,Promo
105,2019-04-28 01:19:19,BARCELONA,MADRID,2019-05-17 19:00:00,2019-05-17 22:00:00,AVE,102.15,Turista Plus,Promo
106,2019-04-21 03:42:27,VALENCIA,MADRID,2019-05-13 07:40:00,2019-05-13 09:20:00,AVE,51.15,Turista,Promo
107,2019-05-02 07:19:52,BARCELONA,MADRID,2019-05-17 06:05:00,2019-05-17 09:15:00,AVE,80.15,Turista Plus,Promo
108,2019-04-21 17:22:16,SEVILLA,MADRID,2019-04-23 16:45:00,2019-04-23 19:17:00,AVE,76.3,Turista,Flexible
109,2019-04-16 17:16:57,MADRID,SEVILLA,2019-05-29 08:00:00,2019-05-29 10:32:00,AVE,69.4,Preferente,Promo
110,2019-04-23 20:34:03,PONFERRADA,MADRID,2019-04-30 02:36:00,2019-04-30 09:31:00,TRENHOTEL,45.8,Turista,Flexible
111,2019-04-22 13:03:37,MADRID,SEVILLA,2019-04-24 15:00:00,2019-04-24 17:21:00,AVE,60.3,Turista,Promo
112,2019-04-14 18:06:59,BARCELONA,MADRID,2019-05-02 12:50:00,2019-05-02 15:45:00,AVE-TGV,107.7,Turista,Flexible
113,2019-05-03 19:15:11,MADRID,BARCELONA,2019-05-17 13:25:00,2019-05-17 16:24:00,AVE-TGV,90.5,Turista Plus,Promo
114,2019-04-21 22:00:50,MADRID,BARCELONA,2019-05-01 11:30:00,2019-05-01 14:40:00,AVE,107.7,Turista,Flexible
115,2019-04-23 02:12:27,SEVILLA,MADRID,2019-04-28 19:19:00,2019-04-28 21:59:00,INTERCITY,62.2,Turista,Flexible
116,2019-04-30 13:32:27,VALENCIA,MADRID,2019-05-30 14:10:00,2019-05-30 15:48:00,AVE,45.3,Turista,Promo
117,2019-05-02 11:28:11,PONFERRADA,MADRID,2019-05-31 17:55:00,2019-05-31 22:55:00,MD-LD,35.15,Turista con enlace,Promo +
118,2019-04-23 05:31:58,SEVILLA,MADRID,2019-05-22 12:18:00,2019-05-22 14:56:00,ALVIA,,Turista,Promo
119,2019-04-30 15:45:23,MADRID,SEVILLA,2019-05-17 08:00:00,2019-05-17 10:32:00,AVE,76.3,Turista,Flexible
120,2019-05-09 07:17:47,VALENCIA,MADRID,2019-05-18 19:15:00,2019-05-18 21:01:00,AVE,33.65,Turista,Promo
121,2019-05-01 17:15:59,SEVILLA,MADRID,2019-05-20 09:40:00,2019-05-20 12:23:00,AVE,69.4,Preferente,Promo
122,2019-04-21 10:09:49,MADRID,SEVILLA,2019-05-05 11:05:00,2019-05-05 13:41:00,ALVIA,,Turista,Flexible
123,2019-05-07 21:05:35,MADRID,SEVILLA,2019-05-23 08:30:00,2019-05-23 11:14:00,ALVIA,,Turista,Promo
124,2019-04-15 16:18:35,BARCELONA,MADRID,2019-05-21 21:15:00,2019-05-22 00:02:00,AVE,49.55,Turista,Promo
125,2019-04-20 02:29:50,PONFERRADA,MADRID,2019-05-07 06:11:00,2019-05-07 10:15:00,ALVIA,33.5,Turista,Promo
126,2019-04-18 09:11:33,BARCELONA,MADRID,2019-05-26 13:25:00,2019-05-26 16:10:00,AVE,66.75,Turista,Promo
127,2019-04-21 07:39:11,SEVILLA,MADRID,2019-05-31 16:15:00,2019-05-31 18:54:00,AVE,47.3,Turista,Promo
128,2019-04-20 21:33:21,MADRID,SEVILLA,2019-05-20 10:00:00,2019-05-20 12:32:00,AVE,60.3,Turista,Promo
129,2019-04-16 14:04:25,BARCELONA,MADRID,2019-04-18 09:00:00,2019-04-18 11:45:00,AVE,143.4,Preferente,Promo
130,2019-04-11 22:28:44,MADRID,VALENCIA,2019-04-22 14:10:00,2019-04-22 16:03:00,AVE,66.55,Preferente,Promo
131,2019-04-15 05:36:15,BARCELONA,MADRID,2019-05-29 15:25:00,2019-05-29 17:55:00,AVE,78.8,Turista,Promo
132,2019-04-15 18:03:15,MADRID,SEVILLA,2019-04-30 13:00:00,2019-04-30 15:40:00,AVE,53.4,Turista,Promo
133,2019-04-23 17:28:26,MADRID,SEVILLA,2019-05-02 13:10:00,2019-05-02 20:51:00,MD-LD,34.35,Turista con enlace,Promo +
134,2019-04-16 18:44:26,MADRID,SEVILLA,2019-04-23 11:00:00,2019-04-23 13:32:00,AVE,69.4,Preferente,Promo
135,2019-04-16 18:45:59,MADRID,SEVILLA,2019-05-05 17:00:00,2019-05-05 19:38:00,AVE,60.3,Turista,Promo
136,2019-05-09 19:34:34,MADRID,SEVILLA,2019-05-30 19:30:00,2019-05-30 22:05:00,AVE,76.3,Turista,Flexible
137,2019-04-21 08:23:56,BARCELONA,MADRID,2019-05-10 08:25:00,2019-05-10 10:55:00,AVE,100.4,Turista,Promo
138,2019-05-07 05:19:08,VALENCIA,MADRID,2019-05-30 17:30:00,2019-05-30 23:58:00,MD-LD,28.1,Turista con enlace,Promo +
139,2019-04-12 18:31:33,MADRID,SEVILLA,2019-05-07 16:00:00,2019-05-07 18:30:00,AVE,,Preferente,Promo
140,2019-04-16 00:04:33,VALENCIA,MADRID,2019-05-02 06:20:00,2019-05-02 10:36:00,INTERCITY,25.75,Turista Plus,Promo
141,2019-05-01 11:37:40,MADRID,VALENCIA,2019-05-29 15:30:00,2019-05-29 22:31:00,AVE-MD,,Turista,Promo
142,2019-04-13 11:21:36,MADRID,VALENCIA,2019-05-30 16:05:00,2019-05-30 22:47:00,REGIONAL,,Turista,Adulto ida
143,2019-05-05 05:46:52,MADRID,BARCELONA,2019-05-05 11:30:00,2019-05-05 14:40:00,AVE,107.7,Turista,Flexible
144,2019-04-28 23:27:26,BARCELONA,MADRID,2019-05-09 12:50:00,2019-05-09 15:45:00,AVE-TGV,85.1,Turista,Promo
145,2019-04-18 21:40:31,SEVILLA,MADRID,2019-04-19 18:45:00,2019-04-19 21:17:00,AVE,76.3,Turista,Flexible
146,2019-05-03 15:42:03,MADRID,SEVILLA,2019-05-28 16:00:00,2019-05-28 18:30:00,AVE,69.4,Preferente,Promo
147,2019-04-21 23:40:21,BARCELONA,MADRID,2019-04-28 07:05:00,2019-04-28 09:50:00,AVE,69.8,Turista Plus,Promo
148,2019-04-13 20:03:10,MADRID,BARCELONA,2019-05-22 13:25:00,2019-05-22 16:24:00,AVE-TGV,40.95,Turista,Promo
149,2019-04-17 11:42:50,MADRID,PONFERRADA,2019-05-21 17:30:00,2019-05-21 21:33:00,ALVIA,33.5,Turista,Promo
150,2019-04-22 00:06:38,BARCELONA,MADRID,2019-05-02 18:00:00,2019-05-02 21:10:00,AVE,107.7,Turista,Flexible
151,2019-04-18 04:39:47,SEVILLA,MADRID,2019-05-07 09:50:00,2019-05-07 12:36:00,ALVIA,,Turista,Flexible
152,2019-04-23 23:09:13,BARCELONA,MADRID,2019-05-29 06:25:00,2019-05-29 08:55:00,AVE,58.45,Turista,Promo
153,2019-04-20 14:45:24,MADRID,VALENCIA,2019-05-06 14:10:00,2019-05-06 16:03:00,AVE,33.65,Turista,Promo
154,2019-05-09 17:36:42,BARCELONA,MADRID,2019-06-19 16:25:00,2019-06-19 18:55:00,AVE,100.4,Turista,Promo
155,2019-04-18 14:06:37,MADRID,PONFERRADA,2019-05-14 17:30:00,2019-05-14 21:33:00,ALVIA,33.5,Turista,Promo
156,2019-04-20 17:01:39,MADRID,BARCELONA,2019-05-29 15:30:00,2019-05-29 18:40:00,AVE,90.5,Turista Plus,Promo
157,2019-04-17 06:43:37,MADRID,BARCELONA,2019-05-19 20:00:00,2019-05-19 22:30:00,AVE,100.4,Turista,Promo
158,2019-04-18 19:25:32,MADRID,VALENCIA,2019-05-29 16:05:00,2019-05-29 22:47:00,REGIONAL,28.35,Turista,Adulto ida
159,2019-04-26 19:34:46,MADRID,VALENCIA,2019-05-06 15:30:00,2019-05-06 22:31:00,AVE-MD,71.0,Turista con enlace,Flexible
160,2019-04-14 18:03:08,MADRID,SEVILLA,2019-05-01 21:25:00,2019-05-02 00:10:00,AV City,49.15,Turista,Promo
161,2019-04-12 15:16:46,MADRID,SEVILLA,2019-05-20 11:05:00,2019-05-20 13:41:00,ALVIA,,Turista,Promo
162,2019-04-17 23:23:37,MADRID,VALENCIA,2019-05-26 11:10:00,2019-05-26 13:25:00,INTERCITY,29.9,Turista,Promo
163,2019-05-06 17:16:34,SEVILLA,MADRID,2019-05-22 13:40:00,2019-05-22 16:10:00,AVE,47.3,Turista,Promo
164,2019-05-03 21:29:32,SEVILLA,MADRID,2019-05-06 07:15:00,2019-05-06 09:55:00,AVE,76.3,Turista,Flexible
165,2019-04-23 15:25:15,MADRID,SEVILLA,2019-05-31 16:00:00,2019-05-31 18:30:00,AVE,79.65,Preferente,Promo
166,2019-05-08 09:06:23,MADRID,BARCELONA,2019-06-16 10:30:00,2019-06-16 13:15:00,AVE,85.1,Turista,Promo
167,2019-05-05 21:00:25,MADRID,SEVILLA,2019-05-10 08:00:00,2019-05-10 10:32:00,AVE,76.3,Turista,Flexible
168,2019-04-22 23:40:21,MADRID,SEVILLA,2019-05-29 11:00:00,2019-05-29 13:32:00,AVE,53.4,Turista,Promo
169,2019-04-13 04:02:06,MADRID,BARCELONA,2019-04-15 06:10:00,2019-04-15 08:40:00,AVE,,Turista Plus,Promo
170,2019-04-19 11:37:12,MADRID,SEVILLA,2019-04-23 15:00:00,2019-04-23 17:21:00,AVE,69.4,Preferente,Promo
171,2019-04-17 10:26:21,VALENCIA,MADRID,2019-04-26 14:10:00,2019-04-26 15:48:00,AVE,51.15,Turista,Promo
172,2019-05-07 17:31:49,BARCELONA,MADRID,2019-05-21 13:25:00,2019-05-21 16:10:00,AVE,107.7,Turista,Flexible
173,2019-04-12 06:09:02,MADRID,SEVILLA,2019-05-16 08:00:00,2019-05-16 10:32:00,AVE,76.3,Turista,Flexible
174,2019-04-19 18:31:05,BARCELONA,MADRID,2019-04-24 12:50:00,2019-04-24 15:45:00,AVE-TGV,102.15,Turista Plus,Promo
175,2019-04-23 08:11:39,MADRID,PONFERRADA,2019-05-06 14:40:00,2019-05-06 18:33:00,AVE-MD,38.75,Turista con enlace,Promo +
176,2019-04-27 21:38:47,MADRID,SEVILLA,2019-05-23 15:00:00,2019-05-23 17:21:00,AVE,76.3,Turista,Flexible
177,2019-04-21 02:41:29,MADRID,VALENCIA,2019-05-06 17:48:00,2019-05-06 21:58:00,INTERCITY,20.6,Turista Plus,Promo
178,2019-05-09 03:36:03,BARCELONA,MADRID,2019-05-20 10:00:00,2019-05-20 13:10:00,AVE,107.7,Turista,Flexible
179,2019-05-04 19:45:23,MADRID,BARCELONA,2019-05-20 06:10:00,2019-05-20 08:40:00,AVE,98.0,Preferente,Promo
180,2019-05-01 07:15:09,SEVILLA,MADRID,2019-05-14 07:40:00,2019-05-14 10:05:00,AVE,76.3,Turista,Flexible
181,2019-04-19 05:27:11,VALENCIA,MADRID,2019-05-08 20:15:00,2019-05-08 21:55:00,AVE,33.65,Turista,Promo
182,2019-04-19 10:15:44,VALENCIA,MADRID,2019-05-21 10:40:00,2019-05-21 12:32:00,AVE,21.95,Turista,Promo
183,2019-04-28 03:15:50,SEVILLA,MADRID,2019-05-18 10:45:00,2019-05-18 13:17:00,AVE,60.3,Turista,Promo
184,2019-04-21 06:54:54,MADRID,PONFERRADA,2019-04-27 14:40:00,2019-04-27 18:33:00,LD-MD,54.1,Turista con enlace,Flexible
185,2019-04-18 02:05:49,MADRID,BARCELONA,2019-05-03 19:00:00,2019-05-03 21:30:00,AVE,88.95,Turista,Promo
186,2019-05-08 07:13:24,MADRID,BARCELONA,2019-07-02 07:00:00,2019-07-02 09:30:00,AVE,94.55,Turista Plus,Promo
187,2019-04-16 08:21:49,MADRID,SEVILLA,2019-05-07 13:10:00,2019-05-07 20:51:00,MD-LD,,Turista,Promo
188,2019-04-30 07:24:20,VALENCIA,MADRID,2019-05-03 20:15:00,2019-05-03 21:55:00,AVE,46.8,Preferente,Promo
189,2019-04-14 18:13:10,MADRID,SEVILLA,2019-05-31 19:00:00,2019-05-31 21:38:00,AVE,69.4,Preferente,Promo
190,2019-04-15 19:09:34,MADRID,BARCELONA,2019-05-20 14:30:00,2019-05-20 17:21:00,AVE,85.1,Turista,Promo
191,2019-04-14 21:15:19,SEVILLA,MADRID,2019-04-19 19:19:00,2019-04-19 21:59:00,INTERCITY,62.2,Turista,Flexible
192,2019-04-18 07:23:40,MADRID,BARCELONA,2019-04-22 09:30:00,2019-04-22 12:34:00,AVE,129.3,Turista Plus,Flexible
193,2019-05-04 12:00:01,MADRID,VALENCIA,2019-07-02 16:05:00,2019-07-02 22:47:00,REGIONAL,28.35,Turista,Adulto ida
194,2019-05-02 05:07:47,BARCELONA,MADRID,2019-05-07 07:25:00,2019-05-07 10:01:00,AVE,66.75,Turista,Promo
195,2019-04-15 04:21:31,BARCELONA,MADRID,2019-05-18 18:00:00,2019-05-18 21:10:00,AVE,66.75,Turista,Promo
196,2019-05-05 03:41:05,MADRID,BARCELONA,2019-05-16 19:30:00,2019-05-16 22:40:00,AVE,75.4,Turista,Promo
